Webwork Section,Link,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_LHuhcnfChzw1MQd4sEuiG,,_LHuhcnfChzw1MQd4sEuiG,_Jf7QD0G0X3t4g650OVkgc,,Problem 33: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FxMH7XD58yjf0DStSiL3C,,_FxMH7XD58yjf0DStSiL3C,_Jf7QD0G0X3t4g650OVkgc,,Problem 34: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_R9Dk4H2jzybPXv9cHNSKy,,_R9Dk4H2jzybPXv9cHNSKy,_Jf7QD0G0X3t4g650OVkgc,,Problem 35: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_FuHeI9BdqMUKL30xphqwo,,_FuHeI9BdqMUKL30xphqwo,_Jf7QD0G0X3t4g650OVkgc,,Problem 36: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_eCQTbzOAMB30MPUHuQJvG,,_eCQTbzOAMB30MPUHuQJvG,_Jf7QD0G0X3t4g650OVkgc,,Problem 37: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_BcyXYqtEGKjf4FKjFWOCN,,_BcyXYqtEGKjf4FKjFWOCN,_Jf7QD0G0X3t4g650OVkgc,,Problem 38: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_eRh5WVsbrh5BQAO2HMjWk,,_eRh5WVsbrh5BQAO2HMjWk,_Jf7QD0G0X3t4g650OVkgc,,Problem 39: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3ijcVwRAJxnfymJWEmWEN,,_3ijcVwRAJxnfymJWEmWEN,_Jf7QD0G0X3t4g650OVkgc,,Problem 40: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_ygbsINo9HhyQ90XKFRNBE,,_ygbsINo9HhyQ90XKFRNBE,_Jf7QD0G0X3t4g650OVkgc,,Problem 41: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_MyzXDdCVJ5qYx0pSHdytA,,_MyzXDdCVJ5qYx0pSHdytA,_Jf7QD0G0X3t4g650OVkgc,,Problem 42: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_H71oHPHeTWOOF1N3IGc31,,_H71oHPHeTWOOF1N3IGc31,_Jf7QD0G0X3t4g650OVkgc,,Problem 43: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_cnoV0x1zHIspBdNRgGdRA,,_cnoV0x1zHIspBdNRgGdRA,_Jf7QD0G0X3t4g650OVkgc,,Problem 44: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_iVqe8JPx3yyrLVMCLs9vZ,,_iVqe8JPx3yyrLVMCLs9vZ,_Jf7QD0G0X3t4g650OVkgc,,Problem 45: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_k5dYJaBWdM1heFJNtgsGh,,_k5dYJaBWdM1heFJNtgsGh,_Jf7QD0G0X3t4g650OVkgc,,Problem 46: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_CzcGor3QRgGOdnhC8pr7t,,_CzcGor3QRgGOdnhC8pr7t,_Jf7QD0G0X3t4g650OVkgc,,Problem 47: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_EOStW4M74lil2RxfW50gK,,_EOStW4M74lil2RxfW50gK,_Jf7QD0G0X3t4g650OVkgc,,Problem 48: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_QvafvsVjCp9aHGNuzAC8k,,_QvafvsVjCp9aHGNuzAC8k,_Jf7QD0G0X3t4g650OVkgc,,Problem 49: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5yojTmn6uC7YCApPhR74K,,_5yojTmn6uC7YCApPhR74K,_Jf7QD0G0X3t4g650OVkgc,,Problem 50: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PN9NpJUT3Y43ZTShSGr2u,,_PN9NpJUT3Y43ZTShSGr2u,_Jf7QD0G0X3t4g650OVkgc,,Problem 51: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_6Hrt2cVIgXm6ZwbRY52wz,,_6Hrt2cVIgXm6ZwbRY52wz,_Jf7QD0G0X3t4g650OVkgc,,Problem 52: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_nq5UREqRvlqZ1IpX0pvYh,,_nq5UREqRvlqZ1IpX0pvYh,_Jf7QD0G0X3t4g650OVkgc,,Problem 53: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_PaVduHoVcODRZ4T6wX559,,_PaVduHoVcODRZ4T6wX559,_Jf7QD0G0X3t4g650OVkgc,,Problem 54: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_3ZAstt07e7iUgcPQU6P6i,,_3ZAstt07e7iUgcPQU6P6i,_Jf7QD0G0X3t4g650OVkgc,,Problem 55: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_EXfwZPfujmWIpZJnCl32M,,_EXfwZPfujmWIpZJnCl32M,_Jf7QD0G0X3t4g650OVkgc,,Problem 56: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_nWuWSQUtLalcIBtMOKuiW,,_nWuWSQUtLalcIBtMOKuiW,_Jf7QD0G0X3t4g650OVkgc,,Problem 57: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_fPgslBL5g24qxHkyuAvvL,,_fPgslBL5g24qxHkyuAvvL,_Jf7QD0G0X3t4g650OVkgc,,Problem 58: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_hal8jgukyEcmX26KUq5hT,,_hal8jgukyEcmX26KUq5hT,_Jf7QD0G0X3t4g650OVkgc,,Problem 59: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_ewckNPsLkxkdApQgalLhy,,_ewckNPsLkxkdApQgalLhy,_Jf7QD0G0X3t4g650OVkgc,,Problem 60: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_zMfgmFVp87umI8jbSUTDM,,_zMfgmFVp87umI8jbSUTDM,_Jf7QD0G0X3t4g650OVkgc,,Problem 61: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_6aT5QdIRtYW0eHt8XZZlk,,_6aT5QdIRtYW0eHt8XZZlk,_Jf7QD0G0X3t4g650OVkgc,,Problem 62: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_F0OHK6G6SE5YNgnZXqzS4,,_F0OHK6G6SE5YNgnZXqzS4,_Jf7QD0G0X3t4g650OVkgc,,Problem 63: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_GuXxKkNTdXdmuK76ScUSu,,_GuXxKkNTdXdmuK76ScUSu,_Jf7QD0G0X3t4g650OVkgc,,Problem 64: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_rnRuy0bnMdkUaXA2BxFCK,,_rnRuy0bnMdkUaXA2BxFCK,_Jf7QD0G0X3t4g650OVkgc,,Problem 65: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_7SPdXFzGbt7nmJyg1nBZL,,_7SPdXFzGbt7nmJyg1nBZL,_Jf7QD0G0X3t4g650OVkgc,,Problem 66: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_Iewk35VgfzXfxBjjoXX8O,,_Iewk35VgfzXfxBjjoXX8O,_Jf7QD0G0X3t4g650OVkgc,,Problem 67: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_AFRiG2eERuJT1Os6tC4mO,,_AFRiG2eERuJT1Os6tC4mO,_Jf7QD0G0X3t4g650OVkgc,,Problem 68: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2GHLW6jHNbiUOzhryYt5Y,,_2GHLW6jHNbiUOzhryYt5Y,_Jf7QD0G0X3t4g650OVkgc,,Problem 69: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_8tOR68wmwpavWLYEQMglz,,_8tOR68wmwpavWLYEQMglz,_Jf7QD0G0X3t4g650OVkgc,,Problem 70: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_tNTc3txysPW1pXHB4ZsG5,,_tNTc3txysPW1pXHB4ZsG5,_Jf7QD0G0X3t4g650OVkgc,,Problem 71: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_5LcVsUzay8yVrXRhYqxAD,,_5LcVsUzay8yVrXRhYqxAD,_Jf7QD0G0X3t4g650OVkgc,,Problem 72: BA-Basics,,,,
#N/A,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_SE8OJDFjS9UjyxrhYUkhW,,_SE8OJDFjS9UjyxrhYUkhW,_Jf7QD0G0X3t4g650OVkgc,,Problem 73: BA-Basics,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_2VBj4purPkXDaHI2sL2IF,10f,_2VBj4purPkXDaHI2sL2IF,_Jf7QD0G0X3t4g650OVkgc,,74. BA-Basics: Factor rational expression - binomial terms cancel,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_XHVLSJWa43qusYzl6MZ1U,10f,_XHVLSJWa43qusYzl6MZ1U,_Jf7QD0G0X3t4g650OVkgc,,Problem 75: BA-Basics,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_L1UiYj3iS8JMfwBQFPmcg,10f,_L1UiYj3iS8JMfwBQFPmcg,_Jf7QD0G0X3t4g650OVkgc,,Problem 76: BA-Basics,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_1Kef4tjzgHgPbjkessZ24,10f,_1Kef4tjzgHgPbjkessZ24,_Jf7QD0G0X3t4g650OVkgc,,77. BA-Basics: Factor rational expression - GCF and diff squares denominator,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_8ivRXtEXfjlpGzcXiGshs,10f,_8ivRXtEXfjlpGzcXiGshs,_Jf7QD0G0X3t4g650OVkgc,,78. BA-Basics: Factor rational expression - diff squares denominator,,,,
Simplify rational expressions,https://www.doenet.org/courseactivityeditor/_Jf7QD0G0X3t4g650OVkgc/_s1sPnitjB1DqfXXEIVfNf,10f,_s1sPnitjB1DqfXXEIVfNf,_Jf7QD0G0X3t4g650OVkgc,,Problem 79: BA-Basics,,,,
