Webwork Section,Webwork key,DoenetId,parentDoenetId,Level 1,Level 2,Level 3,Level 4,Level 5,
Simplify rational expressions,10f,_8ivRXtEXfjlpGzcXiGshs,_Jf7QD0G0X3t4g650OVkgc,,78. BA-Basics: Factor rational expression - diff squares denominator,,,,
Simplify rational expressions,10f,_s1sPnitjB1DqfXXEIVfNf,_Jf7QD0G0X3t4g650OVkgc,,Problem 79: BA-Basics,,,,
Simplify rational expressions,10f,_xYXmhL0IXOTbJ1scrx91o,_Jf7QD0G0X3t4g650OVkgc,,Problem 80: BA-Basics,,,,
Simplify rational expressions,10f,_Bva55rPTCN1O273ImW4qV,_Jf7QD0G0X3t4g650OVkgc,,Problem 81: BA-Basics,,,,
Simplify rational expressions,10f,_tSi8fNToKiiDM6Y1cunSu,_Jf7QD0G0X3t4g650OVkgc,,82. BA-Basics: Factor rational expression - numerator with constant GCF,,,,
Simplify rational expressions,10f,_akQ5ZiOF6zkIizlezxg96,_Jf7QD0G0X3t4g650OVkgc,,83. BA-Basics: Factor rational expression - numerator with GCF = x,,,,
Midpoint and distance formulas,4b,_hUDGVD7SopeJvfoNmpFkj,_Jf7QD0G0X3t4g650OVkgc,,84. BA-Basics: the distance formula -exact,,,,
Midpoint and distance formulas,4b,_sllFQBajo0hmuAnx4tEXK,_Jf7QD0G0X3t4g650OVkgc,,85. BA-Basics: the distance formula - decimal,,,,
#N/A,,_3HBHwSlkax7mMe91vH6Eq,_Jf7QD0G0X3t4g650OVkgc,,Problem 86: BA-Basics,,,,
#N/A,,_VCwXurkZUPTl3xzWpplAZ,_Jf7QD0G0X3t4g650OVkgc,,Problem 87: BA-Basics,,,,
Isolating variables,1g,_jBDXfMhRAqe1YBachBOEi,_Jf7QD0G0X3t4g650OVkgc,,88: BA-Basics - solve for x,,,,
Isolating variables,1g,_5UDipDrWhNulpiNcKHRCn,_Jf7QD0G0X3t4g650OVkgc,,89: BA-Basics - solve for x,,,,
#N/A,,_Q60Lvod1KI2m3qI57wByD,_Jf7QD0G0X3t4g650OVkgc,,Problem 90: BA-Basics,,,,
"Rational expressions: add, subtract",10e,_cGvsrL4xh4VR2zlWflb4C,_Jf7QD0G0X3t4g650OVkgc,,91. BA-Basics: Add two rational expr - numerators are constants,,,,
"Rational expressions: add, subtract",10e,_FsVaLwBORx81FxSybRcfz,_Jf7QD0G0X3t4g650OVkgc,,92. BA-Basics: Subtract two rational expr - numerators are constants,,,,
"Rational expressions: add, subtract",10e,_K5jlyHKWogv4weaxFFpap,_Jf7QD0G0X3t4g650OVkgc,,93. BA-Basics: Add two rational expr - one numerator is a binomial,,,,
"Rational expressions: add, subtract",10e,_Oo3NWXbLixxNcRnl3agEn,_Jf7QD0G0X3t4g650OVkgc,,94. BA-Basics: Subtract two rational expr - one numerator is a binomial,,,,
"Rational expressions: add, subtract",10e,_oNHcwzZcd9SK1e60jJKe4,_Jf7QD0G0X3t4g650OVkgc,,95. BA-Basics: Sum a binomial and an algebraic fraction,,,,
"Rational expressions: add, subtract",10e,_Z5VlD21hG7y5zBEYURnXP,_Jf7QD0G0X3t4g650OVkgc,,96. BA-Basics: Difference of a binomial and an algebraic fraction,,,,
"Rational expressions: add, subtract",10e,_P7pOuEjzQMw0ZDKEFFBFT,_Jf7QD0G0X3t4g650OVkgc,,"97. BA-Basics: Add two rational expressions, both contain binomials",,,,
"Rational expressions: add, subtract",10e,_XMlxJT8wr1xv1nAZ473TW,_Jf7QD0G0X3t4g650OVkgc,,98. BA-Basics: Subtract two rational expr - both contain binomials,,,,
#N/A,,_YEpidBJCdSTTNB4S4QOJ0,_Jf7QD0G0X3t4g650OVkgc,,Problem 99: BA-Basics,,,,
#N/A,,_Q2Pa85pDCYIb0BYFdf3q5,_Jf7QD0G0X3t4g650OVkgc,,Problem 100: BA-Basics,,,,
#N/A,,_cCOedIKM8mfX2QRarIblM,_Jf7QD0G0X3t4g650OVkgc,,Problem 101: BA-Basics,,,,
#N/A,,_1jNBHHoSF6JptjbaAZQbM,_Jf7QD0G0X3t4g650OVkgc,,Problem 102: BA-Basics,,,,
#N/A,,_mllLRd2uBePHhIqZNvcSL,_Jf7QD0G0X3t4g650OVkgc,,Problem 103: BA-Basics,,,,
#N/A,,_Agh4rY8lhq8D7XbFEQart,_Jf7QD0G0X3t4g650OVkgc,,Problem 104: BA-Basics,,,,
#N/A,,_lUoNdfZOYP5K7AkWdX5nW,_Jf7QD0G0X3t4g650OVkgc,,Problem 105: BA-Basics,,,,
#N/A,,_UF8jTNf48UujVQ7pF3ifx,_Jf7QD0G0X3t4g650OVkgc,,Problem 106: BA-Basics,,,,
#N/A,,_95zGUX7JZE6K7gXFv3QOL,_Jf7QD0G0X3t4g650OVkgc,,Problem 107: BA-Basics,,,,
#N/A,,_W83pzGflelY28zeFW3unr,_Jf7QD0G0X3t4g650OVkgc,,Problem 108: BA-Basics,,,,
#N/A,,_F39VL8C9blnSg9xrBvbrY,_Jf7QD0G0X3t4g650OVkgc,,Problem 109: BA-Basics,,,,
#N/A,,_VMNb9X2zBuTDd0kaxQjrf,_Jf7QD0G0X3t4g650OVkgc,,Problem 110: BA-Basics,,,,
#N/A,,_ods4o6q48Rkam2bUj6fK2,_Jf7QD0G0X3t4g650OVkgc,,Problem 111: BA-Basics,,,,
Properties of rational exponents and radicals,3b,_gMEvxrUFcw3WZ2tCnhA0H,_Jf7QD0G0X3t4g650OVkgc,,112. BA-Basics - simplify the product of two square roots,,,,
Properties of rational exponents and radicals,3b,_6tYXzn1h4cI7WrBoYePwW,_Jf7QD0G0X3t4g650OVkgc,,113. BA-Basics - take difference of terms involving square roots,,,,
Properties of rational exponents and radicals,3b,_VBAZNMH8lVkPO4MxEZEes,_Jf7QD0G0X3t4g650OVkgc,,114: BA-Basics - simplify a ratio of square root terms,,,,
#N/A,,_hgwxFqAmrfTzxXVOaoSVu,_Jf7QD0G0X3t4g650OVkgc,,Problem 115: BA-Basics,,,,
#N/A,,_5s5dHVcBJzaP8tfab3r6X,_Jf7QD0G0X3t4g650OVkgc,,Problem 116: BA-Basics,,,,
#N/A,,_DJw3w1h5fdPdI6A0njvdw,_Jf7QD0G0X3t4g650OVkgc,,Problem 117: BA-Basics,,,,
#N/A,,_LkjMfPKo1cRoeb3t8g2Xq,_Jf7QD0G0X3t4g650OVkgc,,Problem 118: BA-Basics,,,,
